date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:27	371422/371422	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Oct%202025%2015:54:25%20GMT	https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/editorad69.html	(from )
19:54:28	196/196	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Oct%202025%2015:54:26%20GMT	https://editor.mix-ar.ru/robots.txt		(from )
19:54:28	32988/32988	---M--	200	added ('OK')	image/x-icon	etag:%2280dc-613c3f50bb6c0%22	https://editor.mix-ar.ru/assets/images/favicon.ico	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/images/favicon.ico	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:28	4772/4772	---M--	200	added ('OK')	text/css	etag:%2212a4-612ed7d008880%22	https://editor.mix-ar.ru/assets/libs/dropzone/dropzone.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/dropzone/dropzone.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:29	17447/17447	---M--	200	added ('OK')	text/css	etag:%224427-612ed8351f700%22	https://editor.mix-ar.ru/assets/libs/filepond/filepond.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/filepond/filepond.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:29	3307/3307	---M--	200	added ('OK')	text/css	etag:%22ceb-612ed838f0000%22	https://editor.mix-ar.ru/assets/libs/filepond-plugin-image-preview/filepond-plugin-image-preview.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/filepond-plugin-image-preview/filepond-plugin-image-preview.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:30	9004/9004	---M--	200	added ('OK')	text/css	etag:%22232c-612ed716111c0%22	https://editor.mix-ar.ru/assets/libs/@simonwep/pickr/themes/classic.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/@simonwep/pickr/themes/classic.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:30	9118/9118	---M--	200	added ('OK')	text/css	etag:%22239e-612ed7151cf80%22	https://editor.mix-ar.ru/assets/libs/@simonwep/pickr/themes/monolith.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/@simonwep/pickr/themes/monolith.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:30	9216/9216	---M--	200	added ('OK')	text/css	etag:%222400-612ed7151cf80%22	https://editor.mix-ar.ru/assets/libs/@simonwep/pickr/themes/nano.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:31	1858/1858	---M--	200	added ('OK')	text/css	etag:%22742-615c357140600%22	https://editor.mix-ar.ru/assets/css/main.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/css/main.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:31	280/280	---M--	200	added ('OK')	text/css	etag:%22118-61b2edf79a200%22	https://editor.mix-ar.ru/assets/css/lesson.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/css/lesson.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:31	254669/254669	---M-Z	200	added ('OK')	application/javascript	etag:%2268cd842e-17fdc%22	https://mc.yandex.ru/metrika/tag.js	C:/Users/111/Documents/Project/MIXAR/mc.yandex.ru/metrika/tag.js	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:32	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%2215d84-615e66b2c7140%22	https://editor.mix-ar.ru/assets/js/jquery.min.js	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/js/jquery.min.js	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:32	4220/4220	---M--	200	added ('OK')	text/css	etag:%22107c-612ed90135880%22	https://editor.mix-ar.ru/assets/libs/nouislider/nouislider.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/nouislider/nouislider.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:33	28765/28765	---M--	200	added ('OK')	text/css	etag:%22705d-612ed73a4e740%22	https://editor.mix-ar.ru/assets/libs/aos/aos.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/aos/aos.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:33	1056/1056	---M--	200	added ('OK')	application/javascript	etag:%22420-613c3f51af900%22	https://editor.mix-ar.ru/assets/js/layout.js	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/js/layout.js	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:33	210918/210918	---M--	200	added ('OK')	text/css	etag:%22337e6-613c3f50bb6c0%22	https://editor.mix-ar.ru/assets/css/bootstrap.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/css/bootstrap.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:34	556864/556864	---M--	200	added ('OK')	text/css	etag:%2287f40-613c3f50bb6c0%22	https://editor.mix-ar.ru/assets/css/icons.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/css/icons.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:34	46/46	---M--	200	added ('OK')	text/css	etag:%222e-613c3f50bb6c0%22	https://editor.mix-ar.ru/assets/css/custom.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/css/custom.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:35	23266/23266	---M--	200	added ('OK')	text/css	etag:%225ae2-615c44180d740%22	https://editor.mix-ar.ru/assets/css/editor.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/css/editor.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:35	293866/293866	---M--	200	added ('OK')	text/css	etag:%2247bea-613c3f50bb6c0%22	https://editor.mix-ar.ru/assets/css/app.min.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/css/app.min.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:35	1861/1861	---M--	200	added ('OK')	text/css	etag:%22745-615ba07123cc0%22	https://editor.mix-ar.ru/TemplateData/style.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/TemplateData/style.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:35	3397/3397	---M--	200	added ('OK')	text/css	etag:%22d45-612ed98995a40%22	https://editor.mix-ar.ru/assets/libs/shepherd.js/css/shepherd.css	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/libs/shepherd.js/css/shepherd.css	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
19:54:36	1084/1084	---M--	200	added ('OK')	application/javascript	etag:%2243c-61610d4a2f0c0%22	https://editor.mix-ar.ru/assets/js/cookies.js	C:/Users/111/Documents/Project/MIXAR/editor.mix-ar.ru/assets/js/cookies.js	(from https://editor.mix-ar.ru/editor.html?id=25e927cabe76a018803c80e75)
